Sigla;Nome;Car†ter;Qualis
3DIM;International Conference on 3-D Digital Imaging and Modeling;INTERNACIONAL;B1
3DUI;IEEE Symposium on 3D User Interfaces;INTERNACIONAL;B2
3PGCIC;International Conference on P2P, Parallel, Grid, Cloud, and Internet Computing;;B4
AAAAECC;International Symposium on Applied Algebra, Algebraic Algorithms and Error-Correcting Codes;INTERNACIONAL;
AAAI;Conference on Artificial Intelligence;INTERNACIONAL;A1
AAECC;Applied algebra, Algebraic algorithms, and Error Correcting Codes;;B2
AAIM;Algorithmic Applications in Management;;B3
AAIP;Workshop on Approaches and Applications of Inductive Programming;;B5
AAMAS;International Joint Conference on Autonomous Agents and Multiagents Systems;INTERNACIONAL;A1
ABiALS;Anticipatory Behavior in Adaptive Learning Systems;;B3
ABS;Agent-based Simulation Workshop;INTERNACIONAL;B4
ABZ;Abstract State Machines, Alloy, B and Z;;B2
AC;IADIS International Conference on Applied Computing;INTERNACIONAL;B4
ACC;American Control Conference;INTERNACIONAL;A1
ACE;Australasian Conference on Computing Education;INTERNACIONAL;B2
ACE_A;International Conference on Advances in Computer Entertainment Technology;;B1
ACHI;International Conference on Advances in Computer-Human Interaction;;B3
ACiD;Algorithms and Complexity in Durham;;B4
ACII;International Conference on Affective Computing and Intelligent Interaction;;B1
ACIIDS;Asian Conference on Intelligent Information and Database Systems;;B4
ACIL;Advances in Computational Intelligence and Learning;;B4
ACIS-ICIS;International Conference on Computer and Information Science;;B3
ACIVS;Advanced Concepts for Intelligent Vision Systems Conference;INTERNACIONAL;B2
ACL;International Conference of the Association of Computational Linguistics;INTERNACIONAL;A1
ACL-SIGSEM;ACL SIGSEM Workshop on Prepositions;INTERNACIONAL;
ACL2;Workshop on the ACL2 Theorem Prover and Its Applications;;B3
ACM-GIS;ACM International Symposium on Advances in Geographic Information Systems;INTERNACIONAL;
ACM-MM;ACM Multimedia Conference;INTERNACIONAL;
ACMC;Australasian Computer Music Conference;;B4
ACNS;International Conference on Applied Cryptography and Network Security;INTERNACIONAL;B1
ACOM;International Workshop on Assessment of Contemporary Modularization Techniques;;B5
ACRI;International Conference on Cellular Automata for Research and Industry;;B2
ACSAC;Annual Computer Security Applications Conference;INTERNACIONAL;A1
ACSD;International Conference on Application of Concurrency to System Design;;B1
Ada-Europe;International Conference on Reliable Software Technologies;INTERNACIONAL;B2
ADBIS;Symposium on Advances in Database and Information Systems;INTERNACIONAL;B1
ADC;Australasian Database Conference;;B1
AdCom;International Conference on Advanced Computing and Communications;INTERNACIONAL;B3
ADHOC-NOW;International Conference on AD-HOC Networks and Wireless;INTERNACIONAL;
ADHOC?NOW;International Conference on AD-HOC Networks and Wireless;;B1
ADHOCNETS;International Conference on Ad Hoc Networks;;B5
ADMA;International Conference on Advanced Data Mining and Applications;INTERNACIONAL;B2
ADMI;International Workshop on Agents and Data Mining Interaction;;B5
ADPRL;IEEE International Symposium on Approximate Dynamic Programming and Reinforcement Learning;;B3
ADS;Agent-Directed Simulation Symposium;;B5
ADT;Algorithmic Decision Theory;;B4
AEM;International Conference on Applied and Engineering Mathematics;;B4
AES-Brasil;Audio Engineering Society - Brasil;;B5
AFRICACRYPT;International Conference on Cryptology in Africa;;B3
AGI;Artificial General Intelligence;;B4
AGILE;Agile Development Conference;INTERNACIONAL;B1
AGILE_A;AGILE Conference on Geographic Information Science;INTERNACIONAL;B3
AGO;International Conference on Advances In Global Optimization: Methods and Applications;INTERNACIONAL;B5
AGS;Agents for Games and Simulations;;B4
AH;International Conference on Adaptive Hypermedia and Adaptive Web- Based Systems;INTERNACIONAL;
AI;Canadian Conference on Artificial Intelligence;;B1
AI*IA;Congress of the Italian Association for Artificial Intelligence;;B3
AIA;Artificial Intelligence and Applications Conference;INTERNACIONAL;B4
AIAI;IFIP International Conference on Artificial Intelligence Applications and Innovations;INTERNACIONAL;B4
AICCSA;ACS/IEEE International Conference on Computer Systems and Applications;;B1
AICT;Advanced International Conference on Telecommunications;;B1
AIED;International Conference on Artificial Intelligence in Education;INTERNACIONAL;B1
AIED_A;Workshop on Motivation and Affect in Educational Software;INTERNACIONAL;B5
AIIDE;Artificial Intelligence and Interactive Digital Entertainment;INTERNACIONAL;B2
AIL;International Conference on Artificial Intelligence and Law;INTERNACIONAL;
AIME;Conference on Artificial Intelligence in Medicine in Europe;INTERNACIONAL;B2
AiML;Advances in Modal Logic;INTERNACIONAL;B3
AIMS;Autonomous Infrastructure, Management and Security;;B4
AIMSA;Artificial Intelligence: Methodology, Systems, Applications;;B2
AINA;International Conference on Advanced Information Networking and Applications;INTERNACIONAL;A2
AIPS;Conference on Artificial Intelligence Planning Systems;INTERNACIONAL;
AIRS;Asia Information Retrieval Symposium;;B3
AIS;SIGED International Conference on Informatics Education and Research;INTERNACIONAL;B5
AISAT;International Conference on Artificial Intelligence in Science and Technology;INTERNACIONAL;B5
AISC;International Conference on Artificial Intelligence and Symbolic Computing;INTERNACIONAL;B3
AISec;AI & Security Workshop;;B4
AISM;Australian Information Security Management Conference;;B4
ALAMAS;European Symposium on Adaptive Learning Agents and Multi-Agent Systems;INTERNACIONAL;B5
ALENEX;Workshop on Algorithm Engineering and Experiments;INTERNACIONAL;B1
ALEX;Algorithms and Experiments;INTERNACIONAL;
ALG;Workshop on Algorithm Engineering;INTERNACIONAL;B1
AlgOR;International conference on Algorithmic Operations Research and Operations Research Case Competition;INTERNACIONAL;B4
ALGOSENSORS;Algorithmic Aspects of Wireless Sensor Networks;;B3
ALIFE;IEEE Symposium on Artificial Life;;B4
ALIFE_A;International Conference on the Simulation and Synthesis of Living Systems;;B2
ALIO;Conference on Combinatorial Optimization;INTERNACIONAL;
ALIO/EURO;Conference on Combinatorial Optimization;;B5
ALP;International Conference on Algebraic and Logic Programming;INTERNACIONAL;
ALPIT;International Conference on Advanced Language Processing and Web Information Technology;;B4
ALT;International Conferences on Algorithmic Learning Theory;INTERNACIONAL;B1
ALTA;Australasian Language Technology Association Workshop;;B4
AMAI;International Symposium on Artificial Intelligence and Mathematics;INTERNACIONAL;B3
AMAS-BT;Workshop on Architectural and Microarchitectural Support for Binary Translation;;B5
AMAST;International Conference on Algebraic Methodology and Software Technology;INTERNACIONAL;B1
AMCIS;Americas Conference on Information Systems;INTERNACIONAL;B1
AMCS;International Conference on Algorithmic Mathematics and Computer Science;;B5
AMIA;AMIA Annual Symposium;;A2
AMINING;Active Mining;;B4
AMS;Autonome Mobile Systeme;;B4
AMSTA;Agent and Multi-Agent Systems: Technologies and Applications;;B3
AMTA;Conference of the Association for Machine Translation in the Americas;;B4
AMW;Alberto Mendelzon International Workshop on Foundations of Data Management;;B4
ANALCO;Workshop on Analytic Algorithms and Combinatorics;INTERNACIONAL;B4
ANCS;Symposium On Architecture For Networking And Communications Systems;;B1
ANDESCON;IEEE Andean Region International Conference;;B4
ANIREM;Workshop on Agents Norms and Institutions for Regulated Multiagent Systems;INTERNACIONAL;B5
ANNPR;IAPR International Workshop on Artificial Neural Networks in Pattern;INTERNACIONAL;B4
ANPPOM;Congresso da Associaá∆o Nacional de Pesquisa e P¢s-Graduaá∆o em M£sica;;B5
ANSS;Annual Simulation Symposium;INTERNACIONAL;B1
ANTS;International Symposium on Algorithmic Number Theory;INTERNACIONAL;B1
ANTS_A;International Workshop on Ant Colony Optimization and Swarm Intelligence;;B4
ANTS_C;International Symposium on Advanced Networks and Telecommunication Systems;;B4
AOIS;Agent-Oriented Information Systems Workshop;INTERNACIONAL;B3
AOM;Aspect-Oriented Modeling Workshop;;B2
AOSD;International Conference on Aspect-Oriented Software Development;INTERNACIONAL;A1
AOSE;Workshop on Agent-Oriented Software Engineering;INTERNACIONAL;B3
APCIP;Asia-Pacific Conference on Information Processing;;B4
APEID;UNESCO-APEID International Conference;;B5
APGV;Symposium on Applied Perception in Graphics and Visualization;INTERNACIONAL;B2
APLAS;Asian Symposium on Programming Languages and Systems;;B1
APPROX;International Workshop on Approximation Algorithms for Combinatorial Optimization Problems;INTERNACIONAL;B1
APSCC;IEEE Asia-Pacific Services Computing Conference;;B3
APTC;Asia-Pacific Trusted Infrastructure Technologies Conference;;B5
APWEB;International Asia-Pacific Web Conference;;B2
AQSDT;Symposium on Assessment of Quality Software Development Tools;INTERNACIONAL;
ARC;International Workshop on Applied Reconfigurable Computing;INTERNACIONAL;B3
ARCS;Architecture of Computing Systems;;B2
ARES;International Conference on Availability: Reliability and Security;INTERNACIONAL;B1
ArgMas;International Workshop on Argumentation in Multi-Agent Systems;;B4
ARM;Workshop on Adaptive and Reflective Middleware;;B4
ArtAbilitation;The ArtAbilitation Conference;INTERNACIONAL;B5
ARVLSI;Conference on Advanced Research in VLSI;INTERNACIONAL;B4
ASAMA;International Symposium on Agent Systems and Applications / International Symposium on Mobile Agents;;B1
ASAP;IEEE International Conference on Application-specific Systems: Architectures and Processors;INTERNACIONAL;B1
ASE;IEEE/ACM International Conference on Automated Software Engineering;INTERNACIONAL;A1
ASIACCS;ASIAN ACM Symposium on Information, Computer and Communications Security;;B1
ASIACRYPT;International Conference on the Theory and Application of Cryptology and Information Security;;A1
ASID;International Workshop on Anti-counterfeiting, Security and Identification;;B4
ASIS;Annual Conference of the American Society for Information Science and Technology;INTERNACIONAL;
ASIS&T;Annual Conference of the American Society for Information Science and Technology;;B4
ASONAM;International Conference on Advances in Social Network Analysis and Mining;;B4
ASP-DAC;Asia and South Pacific Design Automation Conference;;A2
ASPLOS;International Conference on Architectural Support for Programming Languages and Operating Systems;INTERNACIONAL;A1
ASRU;IEEE Workshop on Automatic Speech Recognition & Understanding;;B2
ASSETS;International ACM SIGACCESS Conference on Computers and Accessibility;INTERNACIONAL;A2
AST;Automation of Software Test;;B3
ASYNC;Symposium on Asynchronous Circuits and Systems;INTERNACIONAL;A2
ATMOS;Workshop on Algorithmic Approaches for Transportation Modeling, Optimization, and Systems;;B4
ATT;Workshop on Agents in Traffic and Transportation;INTERNACIONAL;B4
ATVA;Automated Technology for Verification and Analysis;;B1
AUTOMATA;Cellular Automata Theory and Applicatins;;B4
AVBPA;International Conference on Audio- and Video-Based Biometric Person;INTERNACIONAL;A2
AVI;International Working Conference on Advanced Visual Interfaces;INTERNACIONAL;A2
AWIC;Atlantic Web Intelligence Conference;;B2
BAIP;International Conference on Recent Trends in Business Administration and Information Processing;;B4
BASYS;IEEE/IFIP International Conference on Information Technology for Balanced Automation Systems;INTERNACIONAL;B4
BC;IFIP International Conference on Broadband Communications;INTERNACIONAL;B4
BCB;ACM International Conference on Bioinformatics and Computational Biology;;B4
BCS-HCI;Conference of the British Computer Society Human Computer Interaction Specialist Group;;B4
BDIM;IEEE/IFIP International Workshop on Business-Driven IT Management;;B4
BEA;Workshop on the Innovative Use of NLP for Building Educational Applications;;B4
BIBE;IEEE International Symposium on Bioinformatics and Bioengineering;INTERNACIONAL;B1
BIBM;IEEE International Conference on Bioinformatics and Biomedicine;;B4
BIBMW;IEEE International Conference on Bioinformatics and Biomedicine Workshop;;B4
BICA;Annual International Conference on Biologically Inspired Cognitive Architectures;;B4
BICS;Brain-Inspired Cognitive Systems Conference;;B4
BIOCOMP;International Conference on Bioinformatics and Computational Biology;INTERNACIONAL;B4
BIODEVICES;International Conference on Biomedical Electronics and Devices;;B4
BIOINFORMATICS;International Conference on Bioinformatics Models, Methods and Algorithms;;B5
BIOSIGNALS;International Conference on Bio-inspired Systems and Signal Processing;;B4
BIOTECHNO;International Conference on Bioinformatics, Biocomputational Systems and Biotechnologies;;B5
BIR;International Conference on Perspectives in Business Informatics Research;;B4
BIRTE;International Workshop on Business Intelligence for the Real Time Enterprise;;B5
BIS;International Conference on Business Information Systems;;B2
BLISS;Bio-inspired, Learning, and Intelligent Systems for Security;;B4
BMEI;International Conference on BioMedical Engineering and Informatics;;B4
BMVC;British Machine Vision Conference;;A2
BNCOD;Workshops of the British National Conference on Databases;;B2
BPM;International Conference in Business Process Management;INTERNACIONAL;A2
BPMDS;International Conference on Business Process Modeling, Development, and Support;;B3
BPMN;International Workshop on Business Process Modeling Notation;;B5
BPSC;Business Process and Services Computing;;B4
Broadnets;International Conference on Broadband Communications Networks and Systems;INTERNACIONAL;B1
BSB;Brazilian Symposium on Bioinformatics;NACIONAL;B4
BTAS;IEEE International Conference on Biometrics: Theory, Applications and Systems;;B2
BUCC;Workshop on Building and Using Comparable Corpora;;B5
BWSS;Brazilian Workshop on Social Simulation;;B5
C&T;International Conference on Communities and Technologies;;B5
C5;International Conference on Creating Connecting and Collaborating through Computing;;B3
CADE;International Conference on Automated Deduction;INTERNACIONAL;A2
CADUI;International Conference on Computer-Aided Design of User;INTERNACIONAL;
CAGD;International Symposium of Computer Aided Geometric Design;INTERNACIONAL;A2
CAIA;Conference on Artificial Intelligence for Applications;INTERNACIONAL;B5
CAINE;ISCA International Conference on Computer Applications in Industry and Engineering;INTERNACIONAL;B4
CAIP;International Conference on Computer Analysis of Images and Patterns;INTERNACIONAL;B2
CAiSE;International Conference on Advanced Information Systems Engineering;INTERNACIONAL;A2
CALCULEMUS;Symposium on the Integration of Symbolic Computation and Mechanized Reasoning;INTERNACIONAL;
CAMAD;IEEE Workshop on Computer-Aided Modeling Analysis and Design of Communication Links and Networks;INTERNACIONAL;B4
CAMP;International Workshop on Computer Architectures for Machine Perception;INTERNACIONAL;B3
CANPC;Workshop on Communication Architecture and Applications for Network-Based Parallel Computing;INTERNACIONAL;B4
CAOS;Workshop on Computer Architecture and Operating System co-design;;B5
CASA;Computer Animation and Social Agents;INTERNACIONAL;B3
CASCON;Annual International Conference on Computer Science and Software Engineering;INTERNACIONAL;B1
CASE;Workshop on Computer-Aided Software Engineering;INTERNACIONAL;
CASE_A;IEEE Conference on Automation Science and Engineering;INTERNACIONAL;B1
CASES;International Conference on Compilers, Architecture, and Synthesis for Embedded Systems;INTERNACIONAL;A2
CASON;International Conference on Computational Aspects of Social Networks;;B4
CATA;International Conference on Computers and their Applications;INTERNACIONAL;B3
CATCH;Cybersecurity Applications & Technology Conference For Homeland Security;;B4
CATE;IASTED International Conference on Computers and Advanced Technology in Education;INTERNACIONAL;B4
CAV;International Conference on Computer Aided Verification;INTERNACIONAL;A1
CBA;Congresso Brasileiro de Autom†tica;;B4
CBEE;Congresso Brasileiro de Educaá∆o Especial;;B5
CBIC;Congresso Brasileiro de Inteligància Computacional;;B5
CBIS;Congresso Brasileiro de Inform†tica em Sa£de;;B4
CBMI;International Workshop on Content-Based Multimedia Indexing;;B3
CBMS;IEEE Symposium on Computer-Based Medical Systems;INTERNACIONAL;B1
CBSE;International Symposium Component-Based Software Engineering;INTERNACIONAL;B1
CC;International Conference on Compiler Construction;INTERNACIONAL;A2
CC_A;Creativity and Cognition Conference;INTERNACIONAL;B5
CCA;IEEE International Conference on Control Applications;INTERNACIONAL;B3
CCA_A;International Conference on Computability and Complexity in Analysis;INTERNACIONAL;B3
CCC;IEEE Conference on Computational Complexity;INTERNACIONAL;B1
CCC_A;Colombian Computing Congress;;B5
CCCG;Canadian Conference on Computational Geometry;;B2
CCCT;International Conference on Computer, Communication and Control Technologies;INTERNACIONAL;B4
CCGrid;IEEE/ACM International Symposium on Cluster Computing and the Grid;INTERNACIONAL;A1
CCNC;IEEE Consumer Communications and Networking Conference;INTERNACIONAL;B1
CCO;International Conference on Cooperative Control and Optimization;INTERNACIONAL;B4
CCRTS;International Command and Control Research and Technology Symposium;INTERNACIONAL;B4
CCS;ACM Conference on Computer and Communications Security;INTERNACIONAL;A1
CCW;IEEE Annual Computer Communications Workshop;INTERNACIONAL;B3
CDC;IEEE Conference on Decision and Control;INTERNACIONAL;B1
CDES;International Conference on Computer Design;INTERNACIONAL;
CDVE;Cooperative Design, Visualization and Engineering;;B4
CEA;International Conference on Computer Engineering and Applications;;B4
CEAS;International Conference on Email and Anti-Spam;INTERNACIONAL;B1
CEC;IEEE Conference on Commerce and Enterprise Computing;INTERNACIONAL;B1
CEC2;IEEE Conference on Electronic Commerce Technology;INTERNACIONAL;
CEC_A;IEEE Congress on Evolutionary Computation;;A2
CELDA;Cognition and Exploratory Learning in Digital Age;;B4
CENTERIS;International Conference on Enterprise Information Systems;;B3
CERMA;Robotics and Automotive Mechanics Conference Electronics;;B4
CETS;Conference on E-business Technology and Strategy;;B5
CF;ACM International Conference on Computing Frontiers;INTERNACIONAL;B1
CGI;Computer Graphics International Conference;INTERNACIONAL;B1
CGIM;International Conference on Computer Graphics and Imaging;INTERNACIONAL;B4
CGIV;International Conference on Computer Graphics, Imaging and Visualization;;B3
CGO;IEEE/ACM International Symposium on Code Generation and Optimization;;A2
CHARME;Conference on Correct Hardware Design and Verification Methods;INTERNACIONAL;B1
CHES;Workshop on Cryptographic Hardware and Embedded Systems;INTERNACIONAL;A1
CHI;Conference on Human Factors in Computing Systems;INTERNACIONAL;A1
CHPC;International Conference on High Performance Computing;INTERNACIONAL;
CIA;International Workshop on Cooperative Information Agents;INTERNACIONAL;B1
CIAA;International Conference on Implementation and Application of Automata;INTERNACIONAL;B3
CIAED;Congresso Internacional ABED de Educaá∆o a DistÉncia;;B4
CIAIE;Congresso Ibero-Americano de Inform†tica Educativa;;B4
CIARP;Iberoamerican Congress on Pattern Recognition;INTERNACIONAL;B2
CIBCB;IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology;INTERNACIONAL;B3
CIBSE;Ibero-American Conference on Software Engineering;;B4
CIC;International Conference on Communications in Computing;INTERNACIONAL;B3
CICC;IEEE Custom Integrated Circuits Conference;INTERNACIONAL;B2
CICLING;Conference on Intelligent Text Processing and Computational Linguistics;INTERNACIONAL;B1
CIDM;IEEE Symposium on Computational Intelligence and Data Mining;INTERNACIONAL;B3
CIDR;Biennial Conference on Innovative Data Systems Research;INTERNACIONAL;A2
CiE;Computability in Europe Conference;INTERNACIONAL;B2
CIG;IEEE Symposium on Computacional Intelligence and Games;INTERNACIONAL;B1
CIKM;International Conference on Information and Knowledge Management;INTERNACIONAL;A1
CIM;Conference on Interdisciplinary Musicology;;B4
CIMCA;International Conference on Computational Intelligence for Modelling Control and Automation;INTERNACIONAL;B2
CIMSA;IEEE International Conference on Computational Intelligence for Measurement Systems and Applications;INTERNACIONAL;B4
CIMSIM;International Conference on Computational Intelligence, Modelling and Simulation;;B4
CINTED;Ciclo de Palestras Novas Tecnologias na Educaá∆o;;B5
CIRA;IEEE International Symposium on Computational Intelligence in Robotics and Automation;INTERNACIONAL;B1
CIRAS;International Conference on Computational Intelligence Robotics and Autonomous Systems;INTERNACIONAL;B4
CIRSYS;International Symposium on Circuits and Systems;INTERNACIONAL;
CIS;International Conference on Computational Intelligence and Security;;B3
CISched;IEEE Symposium on Computational Intelligence in Scheduling;;B4
CISIS;International Conference on Complex Intelligent and Software Intensive Systems;;B3
CISST;International Conference Image Science: Systems and Technology;INTERNACIONAL;B4
CISTI;Iberian Conference on Information Systems and Technologies;;B4
CISW;International Conference on Computational Intelligence and Security Workshops;;B4
CISWSN;Collective Intelligence in Semantic Web and Social Networks;;B4
CIT;International Conference on Computer and Information Technology;INTERNACIONAL;B1
CITA;International Conference on IT in Asia;;B5
CITB;Complexity and Info-Theoretic Approaches to Biology Conference;INTERNACIONAL;
CIVR;ACM International Conference on Image and Video Retrieval;INTERNACIONAL;
CKC;Social and Collaborative Construction of Structured Knowledge;;B4
CL;Corpus Linguistics Conference;INTERNACIONAL;B2
CLA;International Conference On Concept Lattices and Their Applications;INTERNACIONAL;B4
CLAIO;Congreso Latino-Iberoamericano de Investigaci¢n Operativa;;B4
CLEF;Cross Language Evaluation Forum Workshop;INTERNACIONAL;B2
CLEI;Conferencia Latinoamericana de Inform†tica;NACIONAL;B4
CLIHC;Latin American Conference on Human-Computer Interaction;INTERNACIONAL;B5
CLIMA;International Workshop on Computational Logic in Multi-Agent Systems;;B4
CLIP;Workshop on Cross-Language Information Processing;INTERNACIONAL;B5
CLOSER;International Conference on Cloud Computing and Services Science;;B4
CLOUD;IEEE International Conference on Cloud Computing;;B2
CLOUDCOM;IEEE International Conference on Cloud Computing Technology and Science;;B2
CLUSTER;Cluster Computing Conference;INTERNACIONAL;A2
CMC;International Conference on Communications and Mobile Computing;;B4
CMMR;International Symposium on Computer Music Modeling and Retrieval;;B5
CMV;International Conference on Coordinated and Multiple Views in Exploratory Visualization;INTERNACIONAL;B2
CNMAC;Congresso Nacional de Matem†tica Aplicada e Computacional;;B4
CNSM;International Conference on Network and Services Management;;B4
CNSR;Annual Conference on Communication Networks and Services Research;;B2
CoALa;Workshop on Contract Architectures and Languages;INTERNACIONAL;B5
COCOA;Conference on Combinatorial Optimization and Applications;;B4
COCOON;International Computing and Combinatorics Conference;INTERNACIONAL;B1
CODAS;International Symposium on Cooperative Database Systems for Advanced Applications;;B3
CODASPY;Data and Application Security and Privacy;;B4
CODES;International Conference on Hardware/Software Codesign and System Synthesis;INTERNACIONAL;
CODES+ISSS;International Conference on Hardware/Software Codesign and System Synthesis;;A2
CogSci;Annual Conference of the Cognitive Science Society;INTERNACIONAL;B2
COIN;Workshop on Coordination Organization Institutions and Norms in Agent Systems;INTERNACIONAL;B4
COLING;International Conference on Computational Linguistics;INTERNACIONAL;A1
CollaborateCom;International Conference on Collaborative Computing: Networking, Applications and Worksharing;;B3
CollECTeR;Collaborative Electronic Commerce Technology and Research;INTERNACIONAL;B4
COLT;Annual Conference on Computational Learning Theory;INTERNACIONAL;A2
COMMONSENSE;Symposium on Logical Formalizations of Commonsense Reasoning;INTERNACIONAL;B4
CompLife;International Symposium on Computational Life Science;INTERNACIONAL;B4
COMPSAC;Annual International Computer Software and Applications Conference;INTERNACIONAL;A2
CompSysTech;International Conference on Computer Systems and Technologies;;B3
COMS;Conference on Optimization Methods and Software;;A2
COMSWARE;ICST International Conference on Communication System software and Middleware;INTERNACIONAL;B2
CONCUR;International Conference on Concurrency Theory;INTERNACIONAL;A2
CONEXT;ACM International Conference on Emerging Networking Experiments and Technologies;;B1
Conf-IRM;International Conference on Information Resources Management;;B4
CONFENIS;IFIP International Conference on Research and Practical Issues of Enterprise Information Systems;;B4
CONGRESS;World Congress on Privacy, Security, Trust and the Management of e-Business;;B5
CoNLL;Conference on Natural Language Learning;INTERNACIONAL;B1
CONQUEST;Conquest International Conference on Quality Engineering in Software Technology;INTERNACIONAL;B5
CONTECSI;International Conference on Information Systems and Technology Management;;B4
COOLCHIPS;IEEE Cool Chips;;B5
COOP;International Conference on the Design of Cooperative Systems;;B3
CoopIS;International Conference on Cooperative Information Systems;INTERNACIONAL;B1
COSET;International Workshop on Operating Systems, Programming Environments and Management Tools for High-Performance Computing on Clusters;INTERNACIONAL;
COSIT;Conference on Spatial Information Theory;INTERNACIONAL;B1
CP;International Conference on Principles and Practice of Constraint Programming;INTERNACIONAL;A2
CPAIOR;International Conference o Integration of Artificial Intelligence and Operations Research;;B2
CPM;Annual Symposium on Combinatorial Pattern Matching;INTERNACIONAL;B1
CRIWG;International Workshop on Groupware;INTERNACIONAL;B1
CROWNCOM;International Conference on Cognitive Radio Oriented Wireless Networks and Communications;;B1
CRYPTO;Annual International Cryptology Conference;INTERNACIONAL;A1
CSB;IEEE Computational Systems Bioinformatics Conference;INTERNACIONAL;B1
CSC;International Conference on Scientific Computing;INTERNACIONAL;B4
CSCL;International Conference on Computer-Supported Collaborative Learning;INTERNACIONAL;B1
CSCLP;ERCIM Annual Workshop on Constraint Solving and Contraint Logic Programming;INTERNACIONAL;B4
CSCW;ACM Conference on Computer Supported Cooperative Work;INTERNACIONAL;A1
CSCWD;International Conference on Computer Supported Cooperative Work in Design;INTERNACIONAL;B2
CSD;Workshop on Critical Systems Development;INTERNACIONAL;B4
CSE;Conference on Computational Science & Engineering;;B4
CSEDU;International Conference on Computer Supported Education;;B4
CSEE;International Conference on Computer Science, Environment, Ecoinformatics, and Education;INTERNACIONAL;B5
CSEE&T;Conference on Software Engineering Education and Training;;B2
CSFW;IEEE Computer Security Foundations Workshop;INTERNACIONAL;A1
CSL;Annual Conference on Computer Science Logic;INTERNACIONAL;B1
CSM;Conference on Software Maintenance;INTERNACIONAL;
