ISSN;Nome;Qualis Novo
0000-0000;Revista do IEEE AmÇrica Latina;
0001-0782;Communications of the ACM;A1
0001-1452;AIAA Journal (Print);B2
0001-253X;ASLIB Proceedings;B3
0001-3765;Anais da Academia Brasileira de Ciàncias (Impresso);B2
0002-9483;American Journal of Physical Anthropology;C
0002-9637;The American Journal of Tropical Medicine and Hygiene;B1
0002-9890;The American Mathematical Monthly;B2
0002-9939;Proceedings of the American Mathematical Society;B2
0003-2700;Analytical Chemistry (Washington);B1
0003-4347;Annales des TÇlÇcommunications;B3
0003-6870;Applied Ergonomics;B2
0003-6935;Applied Optics (Cessou em 1989. Foi desdobrado em tràs: ISSN 1540-8973 Applied Optics. Information P;
0003-6951;Applied Physics Letters;B1
0003-889X;Archiv der Mathematik;B2
0003-9519;Archive for History of Exact Sciences (Print);B4
0003-9861;Archives of Biochemistry and Biophysics (Print);B2
0004-0622;Archivos Latinoamericanos de Nutrici¢n;C
0004-282X;Arquivos de Neuro-Psiquiatria (Impresso);C
0004-3702;Artificial Intelligence;A1
0004-5411;Journal of the Association for Computing Machinery;A1
0005-1098;Automatica (Oxford);A1
0006-3835;BIT Numerical Mathematics;B1
0006-6117;Boletim TÇcnico da Petrobr†s (Impresso) (Cessou em 1998);C
0008-4026;Canadian Journal of Botany (Print) (Cessou em 2007. Cont. ISSN 1916-2790 Botany (Ottawa. Print));
0008-543X;Cancer (Print);B1
0008-6568;Caries Research;B2
0009-6725;Ciància e Cultura;C
0010-4620;Computer Journal;B1
0010-4655;Computer Physics Communications;A1
0010-4825;Computers in Biology and Medicine;B1
0010-485X;Computing (Wien. Print);B1
0012-365X;Discrete Mathematics;A2
0013-0915;Proceedings of the Edinburgh Mathematical Society;
0013-5194;Electronics Letters;A1
0016-7061;Geoderma (Amsterdam);B2
0017-8012;Harvard Business Review;B2
0018-2028;H°rad†stechnika / Journal on Communications, Computers, Convergence, Contents, Companies (English);C
0018-8646;IBM Journal of Research and Development (Cessou em 2008);A1
0018-8670;IBM Systems Journal (Cessou em 2008);A2
0018-9162;Computer (Long Beach);A2
0018-9219;Proceedings of the IEEE;A1
0018-9286;IEEE Transactions on Automatic Control;A1
0018-9294;IEEE Transactions on Biomedical Engineering (Print);A1
0018-9316;IEEE Transactions on Broadcasting;A2
0018-9340;IEEE Transactions on Computers;A1
0018-9359;IEEE Transactions on Education;B1
0018-9383;IEEE Transactions on Electron Devices;A1
0018-9448;IEEE Transactions on Information Theory;A1
0018-9456;IEEE Transactions on Instrumentation and Measurement;A2
0018-9464;IEEE Transactions on Magnetics;B2
0018-9499;IEEE Transactions on Nuclear Science;B2
0018-9529;IEEE Transactions on Reliability;A2
0018-9545;IEEE Transactions on Vehicular Technology;A1
0020-0190;Information Processing Letters;A2
0020-0255;Information Sciences;A1
0020-1685;Inorganic Materials;B4
0020-7160;International Journal of Computer Mathematics;B2
0020-7179;International Journal of Control (Print);A1
0020-7217;International Journal of Electronics;B1
0020-7543;International Journal of Production Research (Print);B1
0021-2172;Israel Journal of Mathematics;B2
0021-8693;Journal of Algebra (Print);B3
0021-8936;Journal of Applied Mechanics;B2
0021-8979;Journal of Applied Physics;B2
0021-9193;Journal of Bacteriology (Print);B2
0021-9258;The Journal of Biological Chemistry (Print);B1
0021-9991;Journal of Computational Physics (Print);A1
0022-0000;Journal of Computer and System Sciences (Print);A2
0022-247X;Journal of Mathematical Analysis and Applications;B2
0022-2488;Journal of Mathematical Physics;B2
0022-2836;Journal of Molecular Biology;B1
0022-3131;Journal of Nuclear Science and Technology;B2
0022-3239;Journal of Optimization Theory and Applications;A2
0022-3611;Journal of Philosophical Logic;B3
0022-4049;Journal of Pure and Applied Algebra (Print);B2
0022-4065;Journal of Quality Technology;B2
0022-5193;Journal of Theoretical Biology;B2
0023-5954;Kybernetika (Praha);C
0024-3795;Linear Algebra and its Applications;B2
0024-6115;Proceedings of the London Mathematical Society (Print);B2
0025-1909;Management Science;B2
0025-5610;Mathematical Programming;A1
0025-5718;Mathematics of Computation;A2
0026-1270;Methods of Information in Medicine;B1
0026-2692;Microelectronics Journal*;B1
0026-2714;Microelectronics Reliability;A2
0026-2714;Microelectronics and Reliability;A2
0027-8424;Proceedings of the National Academy of Sciences of the United States of America;A1
0028-3045;Networks (New York);B1
